DBN,School-Grade,School,Grade,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3-4,% Level 3-4,Average Class Size,Smallest Class Size,Largest Class Size
18K219,P.S. 219 KENNEDY-KING-3,P.S. 219 KENNEDY-KING,3,270,59,65.6,25,27.8,6,6.7,0,0.0,6,6.7,21.33333333,19,24
05M123,P.S. 123 MAHALIA JACKSON-3,P.S. 123 MAHALIA JACKSON,3,267,52,75.4,13,18.8,4,5.8,0,0.0,4,5.8,25,25,25
14K059,P.S. 59 WILLIAM FLOYD-3,P.S. 59 WILLIAM FLOYD,3,263,42,80.8,7,13.5,3,5.8,0,0.0,3,5.8,17.5,17,18
06M132,P.S. 132 JUAN PABLO DUARTE-3,P.S. 132 JUAN PABLO DUARTE,3,272,71,68.3,27,26.0,6,5.8,0,0.0,6,5.8,22.25,17,26
13K270,#REF!,P.S. 270 JOHANN DEKALB,3,266,13,68.4,5,26.3,1,5.3,0,0.0,1,5.3,#REF!,#REF!,#REF!
12X212,P.S. 212-3,P.S. 212,3,265,33,76.7,8,18.6,2,4.7,0,0.0,2,4.7,24.5,23,26
27Q183,P.S. 183 DR. RICHARD R. GREEN-3,P.S. 183 DR. RICHARD R. GREEN,3,273,48,70.6,17,25.0,3,4.4,0,0.0,3,4.4,25,25,25
05M030,P.S. 30 HERNANDEZ/HUGHES-3,P.S. 30 HERNANDEZ/HUGHES,3,266,35,74.5,10,21.3,2,4.3,0,0.0,2,4.3,20,20,20
12X463,URBAN SCHOLARS COMMUNITY SCHOOL-3,URBAN SCHOLARS COMMUNITY SCHOOL,3,270,33,64.7,16,31.4,2,3.9,0,0.0,2,3.9,18.5,18,19
11X112,P.S. 112 BRONXWOOD-3,P.S. 112 BRONXWOOD,3,283,31,40.3,43,55.8,3,3.9,0,0.0,3,3.9,27,27,27
08X333,#REF!,P.S. 333 - THE MUSEUM SCHOOL,3,276,39,50.6,35,45.5,3,3.9,0,0.0,3,3.9,#REF!,#REF!,#REF!
01M140,P.S. 140 NATHAN STRAUS-3,P.S. 140 NATHAN STRAUS,3,270,19,73.1,6,23.1,1,3.8,0,0.0,1,3.8,33,33,33
10X023,P.S. 23 THE NEW CHILDREN'S SCHOOL-3,P.S. 23 THE NEW CHILDREN'S SCHOOL,3,268,76,71.0,27,25.2,4,3.7,0,0.0,4,3.7,24.5,24,25
13K067,P.S. 67 CHARLES A. DORSEY-3,P.S. 67 CHARLES A. DORSEY,3,260,25,89.3,2,7.1,1,3.6,0,0.0,1,3.6,21,19,23
05M175,P.S. 175 HENRY H GARNET-3,P.S. 175 HENRY H GARNET,3,272,39,59.1,25,37.9,2,3.0,0,0.0,2,3.0,27.5,27,28
23K298,P.S. 298 DR. BETTY SHABAZZ-3,P.S. 298 DR. BETTY SHABAZZ,3,260,27,77.1,7,20.0,1,2.9,0,0.0,1,2.9,26,26,26
23K073,P.S. 73 THOMAS S. BOYLAND-3,P.S. 73 THOMAS S. BOYLAND,3,280,19,50.0,18,47.4,1,2.6,0,0.0,1,2.6,#N/A,#N/A,#N/A
05M133,P.S. 133 FRED R MOORE-3,P.S. 133 FRED R MOORE,3,273,24,55.8,18,41.9,1,2.3,0,0.0,1,2.3,19,17,21
16K005,P.S. 05 DR. RONALD MCNAIR-3,P.S. 05 DR. RONALD MCNAIR,3,260,39,84.8,6,13.0,1,2.2,0,0.0,1,2.2,25.5,22,29
19K328,P.S. 328 PHYLLIS WHEATLEY-3,P.S. 328 PHYLLIS WHEATLEY,3,261,43,76.8,12,21.4,1,1.8,0,0.0,1,1.8,17,17,17
23K150,P.S. 150 CHRISTOPHER-3,P.S. 150 CHRISTOPHER,3,247,24,82.8,5,17.2,0,0.0,0,0.0,0,0.0,31,31,31
13K305,#REF!,P.S. 305 DR. PETER RAY,3,268,28,73.7,10,26.3,0,0.0,0,0.0,0,0.0,#REF!,#REF!,#REF!
19K174,P.S. 174 DUMONT-3,P.S. 174 DUMONT,3,265,32,74.4,11,25.6,0,0.0,0,0.0,0,0.0,#N/A,#N/A,#N/A
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL-4,BRIGHTER CHOICE COMMUNITY SCHOOL,4,308,3,13.6,4,18.2,15,68.2,0,0.0,15,68.2,24,24,24
15K146,P.S. 146-4,P.S. 146,4,311,3,12.0,10,40.0,12,48.0,0,0.0,12,48.0,32,32,32
02M225,ELLA BAKER SCHOOL-4,ELLA BAKER SCHOOL,4,313,0,0.0,5,55.6,4,44.4,0,0.0,4,44.4,11.66666667,10,14
01M364,EARTH SCHOOL-4,EARTH SCHOOL,4,303,5,22.7,9,40.9,8,36.4,0,0.0,8,36.4,#N/A,#N/A,#N/A
01M140,P.S. 140 NATHAN STRAUS-4,P.S. 140 NATHAN STRAUS,4,289,9,29.0,16,51.6,6,19.4,0,0.0,6,19.4,27,27,27
16K636,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION-4,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION,4,279,13,56.5,6,26.1,4,17.4,0,0.0,4,17.4,25,25,25
05M154,P.S. 154 HARRIET TUBMAN-4,P.S. 154 HARRIET TUBMAN,4,277,24,58.5,10,24.4,7,17.1,0,0.0,7,17.1,33,33,33
03M241,STEM INSTITUTE OF MANHATTAN-4,STEM INSTITUTE OF MANHATTAN,4,290,2,33.3,3,50.0,1,16.7,0,0.0,1,16.7,#N/A,#N/A,#N/A
19K306,P.S. 306 ETHAN ALLEN-4,P.S. 306 ETHAN ALLEN,4,286,27,40.9,28,42.4,11,16.7,0,0.0,11,16.7,#N/A,#N/A,#N/A
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX-4,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,4,281,28,48.3,21,36.2,9,15.5,0,0.0,9,15.5,#N/A,#N/A,#N/A
19K089,P.S. 89 CYPRESS HILLS-4,P.S. 89 CYPRESS HILLS,4,278,25,64.1,8,20.5,6,15.4,0,0.0,6,15.4,17,17,17
10X226,P.S. 226-4,P.S. 226,4,279,44,50.0,31,35.2,13,14.8,0,0.0,13,14.8,28,28,28
18K233,P.S. 233 LANGSTON HUGHES-4,P.S. 233 LANGSTON HUGHES,4,288,32,37.6,41,48.2,12,14.1,0,0.0,12,14.1,26,25,27
17K191,P.S. 191 PAUL ROBESON-4,P.S. 191 PAUL ROBESON,4,293,8,21.1,25,65.8,5,13.2,0,0.0,5,13.2,24,24,24
05M175,P.S. 175 HENRY H GARNET-4,P.S. 175 HENRY H GARNET,4,277,37,57.8,19,29.7,8,12.5,0,0.0,8,12.5,21.5,21,22
03M208,P.S. 208 ALAIN L. LOCKE-4,P.S. 208 ALAIN L. LOCKE,4,279,21,43.8,21,43.8,6,12.5,0,0.0,6,12.5,#N/A,#N/A,#N/A
06M115,P.S. 115 ALEXANDER HUMBOLDT-4,P.S. 115 ALEXANDER HUMBOLDT,4,280,50,50.5,37,37.4,12,12.1,0,0.0,12,12.1,25,23,28
16K028,P.S. 28 THE WARREN PREP ACADEMY-4,P.S. 28 THE WARREN PREP ACADEMY,4,281,16,47.1,14,41.2,4,11.8,0,0.0,4,11.8,15,15,15
04M038,P.S. 38 ROBERTO CLEMENTE-4,P.S. 38 ROBERTO CLEMENTE,4,275,23,53.5,15,34.9,5,11.6,0,0.0,5,11.6,23,23,23
14K157,P.S. 157 BENJAMIN FRANKLIN-4,P.S. 157 BENJAMIN FRANKLIN,4,279,26,49.1,21,39.6,6,11.3,0,0.0,6,11.3,19,19,19
07X161,P.S. 161 PONCE DE LEON-4,P.S. 161 PONCE DE LEON,4,280,38,47.5,33,41.3,9,11.3,0,0.0,9,11.3,27.5,26,29
06M018,P.S. 18 PARK TERRACE-4,P.S. 18 PARK TERRACE,4,273,24,53.3,16,35.6,5,11.1,0,0.0,5,11.1,16,15,17
17K398,P.S. 398 WALTER WEAVER-4,P.S. 398 WALTER WEAVER,4,284,21,44.7,21,44.7,5,10.6,0,0.0,5,10.6,28,28,28
09X132,P.S. 132 GARRET A. MORGAN-4,P.S. 132 GARRET A. MORGAN,4,278,37,48.7,31,40.8,8,10.5,0,0.0,8,10.5,21.5,21,22
01M188,P.S. 188 THE ISLAND SCHOOL-4,P.S. 188 THE ISLAND SCHOOL,4,279,23,47.9,20,41.7,5,10.4,0,0.0,5,10.4,26,26,26
23K073,P.S. 73 THOMAS S. BOYLAND-4,P.S. 73 THOMAS S. BOYLAND,4,274,25,62.5,11,27.5,4,10.0,0,0.0,4,10.0,20,18,22
08X130,#REF!,P.S. 130 ABRAM STEVENS HEWITT,4,277,41,55.4,26,35.1,7,9.5,0,0.0,7,9.5,#REF!,#REF!,#REF!
08X107,#REF!,P.S. 107,4,280,39,51.3,30,39.5,7,9.2,0,0.0,7,9.2,#REF!,#REF!,#REF!
05M133,P.S. 133 FRED R MOORE-4,P.S. 133 FRED R MOORE,4,274,21,61.8,10,29.4,3,8.8,0,0.0,3,8.8,30,30,30
32K151,P.S. 151 LYNDON B. JOHNSON-4,P.S. 151 LYNDON B. JOHNSON,4,270,36,62.1,17,29.3,5,8.6,0,0.0,5,8.6,28,28,28
07X154,P.S. 154 JONATHAN D. HYATT-4,P.S. 154 JONATHAN D. HYATT,4,275,36,51.4,28,40.0,6,8.6,0,0.0,6,8.6,21,21,21
17K012,DR. JACQUELINE PEEK-DAVIS SCHOOL-4,DR. JACQUELINE PEEK-DAVIS SCHOOL,4,276,11,45.8,11,45.8,2,8.3,0,0.0,2,8.3,30,30,30
