DBN,School-Grade,School,Grade,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3-4,% Level 3-4,Average Class Size,Smallest Class Size,Largest Class Size
32K377,P.S. 377 ALEJANDRINA B. DE GAUTIER-5,P.S. 377 ALEJANDRINA B. DE GAUTIER,5,281,30,53.6,21,37.5,5,8.9,0,0.0,5,8.9,26,26,26
11X112,P.S. 112 BRONXWOOD-5,P.S. 112 BRONXWOOD,5,288,43,53.8,30,37.5,7,8.8,0,0.0,7,8.8,30,30,30
29Q134,P.S. 134 HOLLIS-5,P.S. 134 HOLLIS,5,283,47,58.0,27,33.3,7,8.6,0,0.0,7,8.6,25,24,26
01M140,P.S. 140 NATHAN STRAUS-5,P.S. 140 NATHAN STRAUS,5,281,17,70.8,5,20.8,2,8.3,0,0.0,2,8.3,28,28,28
05M046,P.S. 46 ARTHUR TAPPAN-5,P.S. 46 ARTHUR TAPPAN,5,272,57,66.3,22,25.6,7,8.1,0,0.0,7,8.1,21,21,21
09X163,P.S. 163 ARTHUR A. SCHOMBURG-5,P.S. 163 ARTHUR A. SCHOMBURG,5,283,52,55.9,34,36.6,7,7.5,0,0.0,7,7.5,25.33333333,24,27
19K260,P.S. 260 BREUCKELEN-5,P.S. 260 BREUCKELEN,5,287,15,55.6,10,37.0,2,7.4,0,0.0,2,7.4,#N/A,#N/A,#N/A
27Q215,P.S. 215 LUCRETIA MOTT-5,P.S. 215 LUCRETIA MOTT,5,272,68,70.8,21,21.9,7,7.3,0,0.0,7,7.3,24,24,24
30Q111,P.S. 111 JACOB BLACKWELL-5,P.S. 111 JACOB BLACKWELL,5,267,30,71.4,9,21.4,3,7.1,0,0.0,3,7.1,24,24,24
03M241,STEM INSTITUTE OF MANHATTAN-5,STEM INSTITUTE OF MANHATTAN,5,291,9,64.3,4,28.6,1,7.1,0,0.0,1,7.1,#N/A,#N/A,#N/A
23K165,P.S. 165 IDA POSNER-5,P.S. 165 IDA POSNER,5,278,21,72.4,6,20.7,2,6.9,0,0.0,2,6.9,21.5,21,22
04M102,P.S. 102 JACQUES CARTIER-5,P.S. 102 JACQUES CARTIER,5,270,34,72.3,10,21.3,3,6.4,0,0.0,3,6.4,#N/A,#N/A,#N/A
09X230,P.S. 230 DR ROLAND N. PATTERSON-5,P.S. 230 DR ROLAND N. PATTERSON,5,268,52,81.3,8,12.5,4,6.3,0,0.0,4,6.3,18.33333333,17,19
05M092,P.S. 92 MARY MCLEOD BETHUNE-5,P.S. 92 MARY MCLEOD BETHUNE,5,281,21,65.6,9,28.1,2,6.3,0,0.0,2,6.3,#N/A,#N/A,#N/A
31R057,P.S. 57 HUBERT H. HUMPHREY-5,P.S. 57 HUBERT H. HUMPHREY,5,272,59,70.2,20,23.8,5,6.0,0,0.0,5,6.0,31,31,31
14K147,P.S. 147 ISAAC REMSEN-5,P.S. 147 ISAAC REMSEN,5,277,24,70.6,8,23.5,2,5.9,0,0.0,2,5.9,20,20,20
10X054,P.S. / I.S. 54-5,P.S. / I.S. 54,5,281,48,70.6,16,23.5,4,5.9,0,0.0,4,5.9,30,30,30
14K157,P.S. 157 BENJAMIN FRANKLIN-5,P.S. 157 BENJAMIN FRANKLIN,5,286,32,60.4,18,34.0,3,5.7,0,0.0,3,5.7,21,21,21
23K073,P.S. 73 THOMAS S. BOYLAND-5,P.S. 73 THOMAS S. BOYLAND,5,274,28,75.7,7,18.9,2,5.4,0,0.0,2,5.4,15,15,15
18K272,P.S. 272 CURTIS ESTABROOK-5,P.S. 272 CURTIS ESTABROOK,5,280,64,68.8,24,25.8,5,5.4,0,0.0,5,5.4,24,24,24
13K067,P.S. 67 CHARLES A. DORSEY-5,P.S. 67 CHARLES A. DORSEY,5,264,32,84.2,4,10.5,2,5.3,0,0.0,2,5.3,20,20,20
06M004,P.S. 04 DUKE ELLINGTON-5,P.S. 04 DUKE ELLINGTON,5,283,61,63.5,30,31.3,5,5.2,0,0.0,5,5.2,22.66666667,20,26
04M375,MOSAIC PREPARATORY ACADEMY-5,MOSAIC PREPARATORY ACADEMY,5,271,33,82.5,5,12.5,2,5.0,0,0.0,2,5.0,24,24,24
01M188,P.S. 188 THE ISLAND SCHOOL-5,P.S. 188 THE ISLAND SCHOOL,5,276,27,60.0,16,35.6,2,4.4,0,0.0,2,4.4,22,22,22
01M137,P.S. 137 JOHN L. BERNSTEIN-5,P.S. 137 JOHN L. BERNSTEIN,5,270,14,60.9,8,34.8,1,4.3,0,0.0,1,4.3,21,21,21
12X092,P.S. 92 BRONX-5,P.S. 92 BRONX,5,271,52,74.3,15,21.4,3,4.3,0,0.0,3,4.3,#N/A,#N/A,#N/A
05M175,P.S. 175 HENRY H GARNET-5,P.S. 175 HENRY H GARNET,5,281,36,76.6,9,19.1,2,4.3,0,0.0,2,4.3,24.5,23,26
10X023,P.S. 23 THE NEW CHILDREN'S SCHOOL-5,P.S. 23 THE NEW CHILDREN'S SCHOOL,5,282,49,62.0,27,34.2,3,3.8,0,0.0,3,3.8,33,33,33
05M194,P.S. 194 COUNTEE CULLEN-5,P.S. 194 COUNTEE CULLEN,5,266,22,81.5,4,14.8,1,3.7,0,0.0,1,3.7,16,16,16
03M149,P.S. 149 SOJOURNER TRUTH-5,P.S. 149 SOJOURNER TRUTH,5,261,26,92.9,1,3.6,1,3.6,0,0.0,1,3.6,16,16,16
04M146,P.S. 146 ANN M. SHORT-5,P.S. 146 ANN M. SHORT,5,273,44,75.9,12,20.7,2,3.4,0,0.0,2,3.4,30,30,30
19K190,P.S. 190 SHEFFIELD-5,P.S. 190 SHEFFIELD,5,290,14,41.2,19,55.9,1,2.9,0,0.0,1,2.9,13,13,13
27Q106,P.S. 106-5,P.S. 106,5,273,26,74.3,8,22.9,1,2.9,0,0.0,1,2.9,#N/A,#N/A,#N/A
19K174,P.S. 174 DUMONT-5,P.S. 174 DUMONT,5,271,31,73.8,10,23.8,1,2.4,0,0.0,1,2.4,17,17,17
03M208,P.S. 208 ALAIN L. LOCKE-5,P.S. 208 ALAIN L. LOCKE,5,274,37,80.4,8,17.4,1,2.2,0,0.0,1,2.2,#N/A,#N/A,#N/A
05M154,P.S. 154 HARRIET TUBMAN-5,P.S. 154 HARRIET TUBMAN,5,274,34,72.3,12,25.5,1,2.1,0,0.0,1,2.1,29,29,29
23K284,P.S. 284 LEW WALLACE-5,P.S. 284 LEW WALLACE,5,266,49,81.7,10,16.7,1,1.7,0,0.0,1,1.7,24,24,24
12X050,P.S. 50 CLARA BARTON-5,P.S. 50 CLARA BARTON,5,263,48,80.0,11,18.3,1,1.7,0,0.0,1,1.7,27,27,27
27Q042,P.S./M.S 42 R. VERNAM-5,P.S./M.S 42 R. VERNAM,5,267,67,79.8,16,19.0,1,1.2,0,0.0,1,1.2,18.5,18,19
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL-5,BRIGHTER CHOICE COMMUNITY SCHOOL,5,268,10,71.4,4,28.6,0,0.0,0,0.0,0,0.0,20,20,20
12X463,URBAN SCHOLARS COMMUNITY SCHOOL-5,URBAN SCHOLARS COMMUNITY SCHOOL,5,272,28,71.8,11,28.2,0,0.0,0,0.0,0,0.0,18.5,16,21
12X211,P.S. 211-5,P.S. 211,5,269,25,73.5,9,26.5,0,0.0,0,0.0,0,0.0,23,23,23
23K150,P.S. 150 CHRISTOPHER-5,P.S. 150 CHRISTOPHER,5,256,33,91.7,3,8.3,0,0.0,0,0.0,0,0.0,25,25,25
23K298,P.S. 298 DR. BETTY SHABAZZ-5,P.S. 298 DR. BETTY SHABAZZ,5,264,29,87.9,4,12.1,0,0.0,0,0.0,0,0.0,26,26,26
05M133,P.S. 133 FRED R MOORE-5,P.S. 133 FRED R MOORE,5,270,33,78.6,9,21.4,0,0.0,0,0.0,0,0.0,34,34,34
16K308,P.S. 308 CLARA CARDWELL-5,P.S. 308 CLARA CARDWELL,5,267,39,88.6,5,11.4,0,0.0,0,0.0,0,0.0,#N/A,#N/A,#N/A
17K022,P.S. 22-5,P.S. 22,5,266,20,90.9,2,9.1,0,0.0,0,0.0,0,0.0,#N/A,#N/A,#N/A
23K332,P.S. 332 CHARLES H. HOUSTON-5,P.S. 332 CHARLES H. HOUSTON,5,267,14,70.0,6,30.0,0,0.0,0,0.0,0,0.0,#N/A,#N/A,#N/A
10X085,P.S. 85 GREAT EXPECTATIONS-5,P.S. 85 GREAT EXPECTATIONS,5,270,130,78.3,28,16.9,7,4.2,1,0.6,8,4.8,29.75,28,32
09X064,P.S. 64 PURA BELPRE-3,P.S. 64 PURA BELPRE,3,271,98,62.0,49,31.0,10,6.3,1,0.6,11,7.0,#N/A,#N/A,#N/A
09X064,P.S. 64 PURA BELPRE-5,P.S. 64 PURA BELPRE,5,270,122,79.2,25,16.2,6,3.9,1,0.6,7,4.5,25,18,30
09X114,P.S. X114 - LUIS LLORENS TORRES SCHOOLS-3,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,3,266,96,69.6,29,21.0,12,8.7,1,0.7,13,9.4,30.33333333,27,32
08X138,#REF!,P.S. 138 SAMUEL RANDALL,5,291,71,51.8,42,30.7,23,16.8,1,0.7,24,17.5,#REF!,#REF!,#REF!
22K269,P.S. 269 NOSTRAND-3,P.S. 269 NOSTRAND,3,276,81,59.6,42,30.9,12,8.8,1,0.7,13,9.6,26.66666667,25,28
10X306,P.S. 306-3,P.S. 306,3,273,74,58.3,36,28.3,16,12.6,1,0.8,17,13.4,#N/A,#N/A,#N/A
09X011,P.S. 11 HIGHBRIDGE-5,P.S. 11 HIGHBRIDGE,5,278,73,60.8,42,35.0,4,3.3,1,0.8,5,4.2,24.5,20,26
11X078,P.S. 78 ANNE HUTCHINSON-5,P.S. 78 ANNE HUTCHINSON,5,284,73,61.9,36,30.5,8,6.8,1,0.8,9,7.6,26.66666667,26,28
23K156,P.S. 156 WAVERLY-3,P.S. 156 WAVERLY,3,279,59,52.7,35,31.3,17,15.2,1,0.9,18,16.1,28.33333333,27,31
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN-3,P.S. 345 PATROLMAN ROBERT BOLDEN,3,277,57,52.3,44,40.4,7,6.4,1,0.9,8,7.3,23,19,25
06M115,P.S. 115 ALEXANDER HUMBOLDT-3,P.S. 115 ALEXANDER HUMBOLDT,3,277,55,50.9,40,37.0,12,11.1,1,0.9,13,12.0,24.33333333,16,30
32K123,P.S. 123 SUYDAM-5,P.S. 123 SUYDAM,5,292,54,50.5,39,36.4,13,12.1,1,0.9,14,13.1,25,23,27
11X021,P.S. 21 PHILIP H. SHERIDAN-3,P.S. 21 PHILIP H. SHERIDAN,3,283,53,50.5,34,32.4,17,16.2,1,1.0,18,17.1,34.66666667,34,35
15K024,P.S. 24-3,P.S. 24,3,288,36,34.6,45,43.3,22,21.2,1,1.0,23,22.1,24.5,24,25
07X157,P.S. 157 GROVE HILL-3,P.S. 157 GROVE HILL,3,285,47,45.2,39,37.5,17,16.3,1,1.0,18,17.3,21,19,22
06M004,P.S. 04 DUKE ELLINGTON-3,P.S. 04 DUKE ELLINGTON,3,288,42,41.2,44,43.1,15,14.7,1,1.0,16,15.7,24.6,20,29
29Q052,P.S. 52 QUEENS-5,P.S. 52 QUEENS,5,284,55,56.7,27,27.8,14,14.4,1,1.0,15,15.5,25,25,25
27Q105,P.S. 105 THE BAY SCHOOL-5,P.S. 105 THE BAY SCHOOL,5,275,75,77.3,18,18.6,3,3.1,1,1.0,4,4.1,#N/A,#N/A,#N/A
21K188,#REF!,P.S. 188 MICHAEL E. BERDY,3,276,61,63.5,25,26.0,9,9.4,1,1.0,10,10.4,#REF!,#REF!,#REF!
07X030,P.S. 30 WILTON-4,P.S. 30 WILTON,4,285,45,46.9,34,35.4,16,16.7,1,1.0,17,17.7,24.5,24,25
12X300,THE SCHOOL OF SCIENCE AND APPLIED LEARNING-4,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,4,275,56,59.6,27,28.7,10,10.6,1,1.1,11,11.7,23.33333333,22,25
28Q140,#REF!,P.S. 140 EDWARD K ELLINGTON,5,289,48,51.1,35,37.2,10,10.6,1,1.1,11,11.7,#REF!,#REF!,#REF!
28Q030,#REF!,P.S. 30 QUEENS,5,280,60,63.8,26,27.7,7,7.4,1,1.1,8,8.5,#REF!,#REF!,#REF!
06M115,P.S. 115 ALEXANDER HUMBOLDT-5,P.S. 115 ALEXANDER HUMBOLDT,5,279,61,65.6,21,22.6,10,10.8,1,1.1,11,11.8,26,17,31
32K274,P.S. 274 KOSCIUSKO-3,P.S. 274 KOSCIUSKO,3,284,41,44.6,37,40.2,13,14.1,1,1.1,14,15.2,27,26,28
07X018,P.S. 18 JOHN PETER ZENGER-5,P.S. 18 JOHN PETER ZENGER,5,283,46,50.0,29,31.5,16,17.4,1,1.1,17,18.5,26,26,26
12X066,P.S. 66 SCHOOL OF HIGHER EXPECTATIONS-4,P.S. 66 SCHOOL OF HIGHER EXPECTATIONS,4,288,28,31.5,42,47.2,18,20.2,1,1.1,19,21.3,23.33333333,22,24
11X111,P.S. 111 SETON FALLS-5,P.S. 111 SETON FALLS,5,291,43,48.3,32,36.0,13,14.6,1,1.1,14,15.7,22.5,19,26
06M008,P.S. 08 LUIS BELLIARD-3,P.S. 08 LUIS BELLIARD,3,280,43,48.9,37,42.0,7,8.0,1,1.1,8,9.1,27.66666667,25,30
09X126,P.S. 126 DR MARJORIE H DUNBAR-4,P.S. 126 DR MARJORIE H DUNBAR,4,281,51,58.0,24,27.3,12,13.6,1,1.1,13,14.8,24.66666667,24,25
22K251,P.S. 251 PAERDEGAT-3,P.S. 251 PAERDEGAT,3,286,39,44.8,34,39.1,13,14.9,1,1.1,14,16.1,27,26,28
10X023,P.S. 23 THE NEW CHILDREN'S SCHOOL-4,P.S. 23 THE NEW CHILDREN'S SCHOOL,4,277,43,49.4,34,39.1,9,10.3,1,1.1,10,11.5,27,27,27
31R20,P.S. 20 PORT RICHMOND-3,P.S. 20 PORT RICHMOND,3,287,38,44.2,29,33.7,18,20.9,1,1.2,19,22.1,23,22,24
29Q138,P.S./ M.S.138 SUNRISE-3,P.S./ M.S.138 SUNRISE,3,269,59,69.4,21,24.7,4,4.7,1,1.2,5,5.9,24,23,25
29Q116,PS/IS 116 WILLIAM C. HUGHLEY-4,PS/IS 116 WILLIAM C. HUGHLEY,4,279,47,55.3,31,36.5,6,7.1,1,1.2,7,8.2,33,32,34
29Q195,P.S. 195 WILLIAM HABERLE-3,P.S. 195 WILLIAM HABERLE,3,284,39,46.4,27,32.1,17,20.2,1,1.2,18,21.4,25.33333333,22,29
31R021,P.S. 21 MARGARET EMERY-ELM PARK-3,P.S. 21 MARGARET EMERY-ELM PARK,3,276,51,60.7,17,20.2,15,17.9,1,1.2,16,19.0,22.5,22,23
29Q036,P.S. 36 SAINT ALBANS SCHOOL-5,P.S. 36 SAINT ALBANS SCHOOL,5,287,46,54.8,28,33.3,9,10.7,1,1.2,10,11.9,27,27,27
31R014,P.S. 14 CORNELIUS VANDERBILT-4,P.S. 14 CORNELIUS VANDERBILT,4,269,62,63.3,29,29.6,6,6.1,1,1.2,7,7.1,#N/A,#N/A,#N/A
10X059,P.S. 59 THE COMMUNITY SCHOOL OF TECHNOLOGY-3,P.S. 59 THE COMMUNITY SCHOOL OF TECHNOLOGY,3,280,43,52.4,25,30.5,13,15.9,1,1.2,14,17.1,24.66666667,24,25
10X054,P.S. / I.S. 54-3,P.S. / I.S. 54,3,283,37,45.7,34,42.0,9,11.1,1,1.2,10,12.3,21.5,21,22
18K208,P.S. 208 ELSA EBELING-3,P.S. 208 ELSA EBELING,3,291,30,37.5,32,40.0,17,21.3,1,1.3,18,22.5,#N/A,#N/A,#N/A
19K202,P.S. 202 ERNEST S. JENKYNS-3,P.S. 202 ERNEST S. JENKYNS,3,274,47,58.8,25,31.3,7,8.8,1,1.3,8,10.0,#N/A,#N/A,#N/A
07X029,P.S./M.S. 29 MELROSE SCHOOL-3,P.S./M.S. 29 MELROSE SCHOOL,3,272,55,68.8,18,22.5,6,7.5,1,1.3,7,8.8,21.33333333,21,22
09X236,P.S. 236 LANGSTON HUGHES-3,P.S. 236 LANGSTON HUGHES,3,281,37,46.8,28,35.4,13,16.5,1,1.3,14,17.7,29,29,29
08X130,#REF!,P.S. 130 ABRAM STEVENS HEWITT,3,283,38,48.7,29,37.2,10,12.8,1,1.3,11,14.1,#REF!,#REF!,#REF!
