Original_County	State	Guns	joinfield	state_fips	county_fips
DOUGLAS	IL	5	IL-DOUGLAS	#N/A	
DOUGLAS	KS	1	KS-DOUGLAS	#N/A	
DOUGLAS	MN	1	MN-DOUGLAS	#N/A	
DOUGLAS	MO	1	MO-DOUGLAS	#N/A	
DOUGLAS	NE	20	NE-DOUGLAS	#N/A	
DOUGLAS	NV	1	NV-DOUGLAS	#N/A	
DOUGLAS	OR	4	OR-DOUGLAS	#N/A	
DOUGLAS	WI	6	WI-DOUGLAS	#N/A	
DREW	AR	4	AR-DREW	#N/A	
DU PAGE	IL	"1,879"	IL-DU PAGE	#N/A	
DUBOIS	IN	8	IN-DUBOIS	#N/A	
DUBUQUE	IA	30	IA-DUBUQUE	#N/A	
DUNKLIN	MO	7	MO-DUNKLIN	#N/A	
DUNN	WI	3	WI-DUNN	#N/A	
DURHAM	NC	1	NC-DURHAM	#N/A	
DUTCHESS	NY	1	NY-DUTCHESS	#N/A	
DUVAL	FL	69	FL-DUVAL	#N/A	
DYER	TN	17	TN-DYER	#N/A	
EARLY	GA	1	GA-EARLY	#N/A	
EAST BATON ROUGE	LA	65	LA-EAST BATON ROUGE	#N/A	
EAST CARROLL	LA	1	LA-EAST CARROLL	#N/A	
EASTLAND	TX	1	TX-EASTLAND	#N/A	
EATON	MI	6	MI-EATON	#N/A	
EAU CLAIRE	WI	26	WI-EAU CLAIRE	#N/A	
ECTOR	TX	1	TX-ECTOR	#N/A	
EDDY	NM	2	NM-EDDY	#N/A	
EDGAR	IL	7	IL-EDGAR	#N/A	
EDGECOMBE	NC	1	NC-EDGECOMBE	#N/A	
EDMONSON	KY	4	KY-EDMONSON	#N/A	
EDWARDS	IL	1	IL-EDWARDS	#N/A	
EFFINGHAM	IL	11	IL-EFFINGHAM	#N/A	
EL PASO	CO	43	CO-EL PASO	#N/A	
EL PASO	TX	34	TX-EL PASO	#N/A	
ELBERT	GA	1	GA-ELBERT	#N/A	
ELK	PA	1	PA-ELK	#N/A	
ELKHART	IN	144	IN-ELKHART	#N/A	
ELKO	NV	1	NV-ELKO	#N/A	
ELLIS	TX	3	TX-ELLIS	#N/A	
ELMORE	AL	6	AL-ELMORE	#N/A	
ELMORE	ID	3	ID-ELMORE	#N/A	
EMMET	MI	1	MI-EMMET	#N/A	
EMPORIA CITY	VA	2	VA-EMPORIA CITY	#N/A	
ERATH	TX	2	TX-ERATH	#REF!	
ERIE	NY	14	NY-ERIE	#N/A	
ERIE	OH	12	OH-ERIE	#N/A	
ERIE	PA	7	PA-ERIE	#N/A	
ESCAMBIA	AL	9	AL-ESCAMBIA	#N/A	
ESCAMBIA	FL	21	FL-ESCAMBIA	#N/A	
ESSEX	MA	6	MA-ESSEX	#N/A	
ESSEX	NJ	1	NJ-ESSEX	#N/A	
ESTILL	KY	10	KY-ESTILL	#N/A	
ETOWAH	AL	43	AL-ETOWAH	#N/A	
EVANGELINE	LA	2	LA-EVANGELINE	#N/A	
EVANS	GA	1	GA-EVANS	#N/A	
FAIRBANKS NORTH STAR	AK	4	AK-FAIRBANKS NORTH STAR	#N/A	
FAIRFAX CITY	VA	2	VA-FAIRFAX CITY	#N/A	
FAIRFAX	VA	3	VA-FAIRFAX	#REF!	
FAIRFIELD	CT	9	CT-FAIRFIELD	#N/A	
FAIRFIELD	OH	3	OH-FAIRFIELD	#N/A	
FANNIN	GA	4	GA-FANNIN	#N/A	
FANNIN	TX	2	TX-FANNIN	#N/A	
FARIBAULT	MN	1	MN-FARIBAULT	#N/A	
FAULKNER	AR	17	AR-FAULKNER	#N/A	
FAUQUIER	VA	1	VA-FAUQUIER	#N/A	
FAYETTE	AL	2	AL-FAYETTE	#N/A	
FAYETTE	GA	4	GA-FAYETTE	#N/A	
FAYETTE	IA	3	IA-FAYETTE	#N/A	
FAYETTE	IL	9	IL-FAYETTE	#N/A	
FAYETTE	IN	16	IN-FAYETTE	#N/A	
FAYETTE	KY	66	KY-FAYETTE	#N/A	
FAYETTE	OH	21	OH-FAYETTE	#N/A	
FAYETTE	PA	6	PA-FAYETTE	#N/A	
FAYETTE	TN	1	TN-FAYETTE	#N/A	
FAYETTE	WV	5	WV-FAYETTE	#N/A	
FENTRESS	TN	1	TN-FENTRESS	#N/A	
FERRY	WA	1	WA-FERRY	#N/A	
FILLMORE	MN	1	MN-FILLMORE	#N/A	
FINNEY	KS	4	KS-FINNEY	#N/A	
FLATHEAD	MT	4	MT-FLATHEAD	#N/A	
FLEMING	KY	2	KY-FLEMING	#N/A	
FLORENCE	SC	3	SC-FLORENCE	#N/A	
FLORENCE	WI	1	WI-FLORENCE	#N/A	
FLOYD	GA	15	GA-FLOYD	#N/A	
FLOYD	IN	11	IN-FLOYD	#N/A	
FLOYD	KY	9	KY-FLOYD	#N/A	
FOND DU LAC	WI	29	WI-FOND DU LAC	#N/A	
FORD	IL	4	IL-FORD	#N/A	
FORD	KS	1	KS-FORD	#N/A	
FOREST	WI	1	WI-FOREST	#N/A	
FORREST	MS	38	MS-FORREST	#N/A	
FORSYTH	GA	5	GA-FORSYTH	#N/A	
FORSYTH	NC	7	NC-FORSYTH	#N/A	
FORT BEND	TX	8	TX-FORT BEND	#N/A	
FOUNTAIN	IN	21	IN-FOUNTAIN	#N/A	
FRANKLIN	AL	8	AL-FRANKLIN	#N/A	
FRANKLIN	GA	3	GA-FRANKLIN	#N/A	
FRANKLIN	IL	24	IL-FRANKLIN	#N/A	
FRANKLIN	KS	3	KS-FRANKLIN	#N/A	
FRANKLIN	KY	24	KY-FRANKLIN	#N/A	
FRANKLIN	LA	6	LA-FRANKLIN	#N/A	
FRANKLIN	MA	2	MA-FRANKLIN	#N/A	
FRANKLIN	MO	6	MO-FRANKLIN	#N/A	
FRANKLIN	OH	156	OH-FRANKLIN	#N/A	
FRANKLIN	PA	4	PA-FRANKLIN	#N/A	
FRANKLIN	TN	9	TN-FRANKLIN	#N/A	
FRANKLIN	VA	1	VA-FRANKLIN	#N/A	
FRANKLIN	WA	2	WA-FRANKLIN	#N/A	
FREDERICK	MD	1	MD-FREDERICK	#N/A	
FREDERICK	VA	1	VA-FREDERICK	#N/A	
FREEBORN	MN	8	MN-FREEBORN	#N/A	
FREESTONE	TX	1	TX-FREESTONE	#N/A	
FREMONT	CO	1	CO-FREMONT	#N/A	
FRESNO	CA	6	CA-FRESNO	#N/A	
FULTON	AR	3	AR-FULTON	#N/A	
FULTON	GA	65	GA-FULTON	#N/A	
FULTON	IL	5	IL-FULTON	#N/A	
FULTON	IN	16	IN-FULTON	#N/A	
FULTON	KY	18	KY-FULTON	#N/A	
FULTON	NY	1	NY-FULTON	#N/A	
FULTON	OH	9	OH-FULTON	#N/A	
GAGE	NE	1	NE-GAGE	#N/A	
GALLATIN	IL	1	IL-GALLATIN	#N/A	
GALLATIN	MT	3	MT-GALLATIN	#N/A	
GALLIA	OH	30	OH-GALLIA	#N/A	
GALVESTON	TX	9	TX-GALVESTON	#N/A	
GARFIELD	CO	3	CO-GARFIELD	#N/A	
GARLAND	AR	20	AR-GARLAND	#N/A	
GASTON	NC	8	NC-GASTON	#N/A	
GEARY	KS	8	KS-GEARY	#N/A	
GEAUGA	OH	7	OH-GEAUGA	#N/A	
GENESEE	MI	35	MI-GENESEE	#N/A	
GENEVA	AL	1	AL-GENEVA	#N/A	
GEORGE	MS	1	MS-GEORGE	#N/A	
GIBSON	IN	8	IN-GIBSON	#N/A	
GIBSON	TN	14	TN-GIBSON	#N/A	
GILA	AZ	9	AZ-GILA	#N/A	
GILCHRIST	FL	1	FL-GILCHRIST	#N/A	
GILES	TN	5	TN-GILES	#N/A	
GLACIER	MT	1	MT-GLACIER	#N/A	
GLADES	FL	1	FL-GLADES	#N/A	
GLENN	CA	1	CA-GLENN	#N/A	
GLOUCESTER	NJ	1	NJ-GLOUCESTER	#N/A	
GLOUCESTER	VA	1	VA-GLOUCESTER	#N/A	
GLYNN	GA	3	GA-GLYNN	#N/A	
GOODHUE	MN	1	MN-GOODHUE	#N/A	
GOODING	ID	1	ID-GOODING	#N/A	
GORDON	GA	8	GA-GORDON	#N/A	
GRADY	GA	4	GA-GRADY	#N/A	
GRAHAM	AZ	1	AZ-GRAHAM	#N/A	
GRAND FORKS	ND	4	ND-GRAND FORKS	#N/A	
GRAND TRAVERSE	MI	8	MI-GRAND TRAVERSE	#N/A	
GRANT	IN	43	IN-GRANT	#N/A	
GRANT	KY	5	KY-GRANT	#N/A	
GRANT	NM	1	NM-GRANT	#N/A	
GRANT	WI	17	WI-GRANT	#N/A	
GRATIOT	MI	1	MI-GRATIOT	#N/A	
GRAVES	KY	16	KY-GRAVES	#N/A	
GRAYS HARBOR	WA	1	WA-GRAYS HARBOR	#N/A	
GRAYSON	KY	4	KY-GRAYSON	#N/A	
GRAYSON	TX	4	TX-GRAYSON	#N/A	
GRAYSON	VA	2	VA-GRAYSON	#N/A	
GREELEY	NE	1	NE-GREELEY	#N/A	
GREEN LAKE	WI	1	WI-GREEN LAKE	#N/A	
GREEN	KY	6	KY-GREEN	#N/A	
GREEN	WI	8	WI-GREEN	#N/A	
GREENBRIER	WV	3	WV-GREENBRIER	#N/A	
GREENE	AL	6	AL-GREENE	#N/A	
GREENE	AR	9	AR-GREENE	#N/A	
GREENE	GA	1	GA-GREENE	#N/A	
GREENE	IA	1	IA-GREENE	#N/A	
GREENE	IL	3	IL-GREENE	#N/A	
GREENE	IN	25	IN-GREENE	#N/A	
GREENE	MO	22	MO-GREENE	#N/A	
GREENE	MS	2	MS-GREENE	#N/A	
GREENE	NC	1	NC-GREENE	#N/A	
GREENE	OH	25	OH-GREENE	#N/A	
GREENE	PA	1	PA-GREENE	#N/A	
GREENE	TN	4	TN-GREENE	#N/A	
GREENE	VA	2	VA-GREENE	#N/A	
GREENUP	KY	1	KY-GREENUP	#N/A	
GREENVILLE	SC	13	SC-GREENVILLE	#N/A	
GREENWOOD	SC	3	SC-GREENWOOD	#N/A	
GREGG	TX	8	TX-GREGG	#N/A	
GRENADA	MS	111	MS-GRENADA	#N/A	
GRUNDY	IL	17	IL-GRUNDY	#N/A	
GRUNDY	TN	1	TN-GRUNDY	#N/A	
GUADALUPE	TX	1	TX-GUADALUPE	#N/A	
GUAM	GU	2	GU-GUAM	#N/A	
GUERNSEY	OH	2	OH-GUERNSEY	#REF!	
GUILFORD	NC	10	NC-GUILFORD	#N/A	
GULF	FL	1	FL-GULF	#N/A	
GUNNISON	CO	1	CO-GUNNISON	#N/A	
GWINNETT	GA	46	GA-GWINNETT	#N/A	
HABERSHAM	GA	3	GA-HABERSHAM	#N/A	
HALE	AL	1	AL-HALE	#N/A	
HALE	TX	1	TX-HALE	#N/A	
HALL	GA	10	GA-HALL	#N/A	
HALL	NE	3	NE-HALL	#N/A	
HAMBLEN	TN	4	TN-HAMBLEN	#N/A	
HAMILTON	IL	5	IL-HAMILTON	#N/A	
HAMILTON	IN	49	IN-HAMILTON	#N/A	
HAMILTON	OH	72	OH-HAMILTON	#N/A	
HAMILTON	TN	62	TN-HAMILTON	#N/A	
HAMPDEN	MA	75	MA-HAMPDEN	#N/A	
HAMPSHIRE	MA	1	MA-HAMPSHIRE	#N/A	
HAMPTON CITY	VA	34	VA-HAMPTON CITY	#N/A	
HANCOCK	IL	4	IL-HANCOCK	#REF!	
HANCOCK	IN	10	IN-HANCOCK	#N/A	
HANCOCK	KY	5	KY-HANCOCK	#N/A	
HANCOCK	ME	1	ME-HANCOCK	#N/A	
HANCOCK	MS	5	MS-HANCOCK	#N/A	
HANCOCK	OH	8	OH-HANCOCK	#N/A	
HANOVER	VA	6	VA-HANOVER	#N/A	
HARALSON	GA	2	GA-HARALSON	#N/A	
HARDEMAN	TN	6	TN-HARDEMAN	#N/A	
HARDIN	IA	3	IA-HARDIN	#N/A	
HARDIN	KY	43	KY-HARDIN	#N/A	
HARDIN	TN	8	TN-HARDIN	#N/A	
HARDIN	TX	1	TX-HARDIN	#N/A	
HARFORD	MD	2	MD-HARFORD	#N/A	
HARLAN	KY	10	KY-HARLAN	#N/A	
HARRIS	GA	2	GA-HARRIS	#N/A	
HARRIS	TX	164	TX-HARRIS	#N/A	
HARRISON	IN	35	IN-HARRISON	#N/A	
HARRISON	KY	8	KY-HARRISON	#N/A	
HARRISON	MO	1	MO-HARRISON	#N/A	
HARRISON	MS	54	MS-HARRISON	#N/A	
HARRISON	TX	2	TX-HARRISON	#N/A	
HARRISON	WV	21	WV-HARRISON	#N/A	
HART	KY	2	KY-HART	#N/A	
HARTFORD	CT	18	CT-HARTFORD	#N/A	
HAWKINS	TN	1	TN-HAWKINS	#N/A	
HAYWOOD	NC	3	NC-HAYWOOD	#N/A	
HAYWOOD	TN	2	TN-HAYWOOD	#N/A	
HEMPSTEAD	AR	4	AR-HEMPSTEAD	#N/A	
HENDERSON	KY	15	KY-HENDERSON	#N/A	
HENDERSON	NC	2	NC-HENDERSON	#N/A	
HENDERSON	TN	8	TN-HENDERSON	#N/A	
HENDERSON	TX	2	TX-HENDERSON	#N/A	
HENDRICKS	IN	101	IN-HENDRICKS	#N/A	
HENDRY	FL	1	FL-HENDRY	#N/A	
HENNEPIN	MN	249	MN-HENNEPIN	#N/A	
HENRY	AL	3	AL-HENRY	#N/A	
HENRY	GA	6	GA-HENRY	#N/A	
HENRY	IA	6	IA-HENRY	#N/A	
HENRY	IL	21	IL-HENRY	#N/A	
HENRY	IN	24	IN-HENRY	#N/A	
HENRY	KY	2	KY-HENRY	#N/A	
HENRY	MO	4	MO-HENRY	#N/A	
HENRY	TN	26	TN-HENRY	#N/A	
HENRY	VA	3	VA-HENRY	#N/A	
HERKIMER	NY	5	NY-HERKIMER	#N/A	
HERNANDO	FL	9	FL-HERNANDO	#N/A	
HICKMAN	TN	6	TN-HICKMAN	#N/A	
HICKORY	MO	1	MO-HICKORY	#N/A	
HIDALGO	TX	6	TX-HIDALGO	#N/A	
HIGHLAND	OH	7	OH-HIGHLAND	#N/A	
HIGHLANDS	FL	6	FL-HIGHLANDS	#N/A	
HILL	MT	1	MT-HILL	#N/A	
HILLSBOROUGH	FL	59	FL-HILLSBOROUGH	#N/A	
HILLSDALE	MI	2	MI-HILLSDALE	#N/A	
HINDS	MS	296	MS-HINDS	#N/A	
HOCKING	OH	7	OH-HOCKING	#N/A	
HOKE	NC	1	NC-HOKE	#N/A	
HOLMES	FL	1	FL-HOLMES	#N/A	
HOLMES	MS	60	MS-HOLMES	#N/A	
HOLMES	OH	1	OH-HOLMES	#N/A	
HOLT	NE	1	NE-HOLT	#N/A	
HONOLULU	HI	8	HI-HONOLULU	#N/A	
HOOD RIVER	OR	1	OR-HOOD RIVER	#N/A	
HOPKINS	KY	16	KY-HOPKINS	#N/A	
HOPKINS	TX	1	TX-HOPKINS	#N/A	
HORRY	SC	5	SC-HORRY	#N/A	
HOT SPRING	AR	2	AR-HOT SPRING	#N/A	
HOUGHTON	MI	1	MI-HOUGHTON	#N/A	
HOUSTON	AL	10	AL-HOUSTON	#N/A	
HOUSTON	GA	17	GA-HOUSTON	#N/A	
HOUSTON	MN	2	MN-HOUSTON	#N/A	
HOUSTON	TN	2	TN-HOUSTON	#N/A	
HOWARD	AR	3	AR-HOWARD	#N/A	
HOWARD	IN	80	IN-HOWARD	#N/A	
HOWARD	MO	1	MO-HOWARD	#N/A	
HOWARD	TX	3	TX-HOWARD	#N/A	
HOWELL	MO	5	MO-HOWELL	#N/A	
HUDSON	NJ	4	NJ-HUDSON	#N/A	
HUERFANO	CO	1	CO-HUERFANO	#N/A	
HUMACAO	PR	1	PR-HUMACAO	#N/A	
HUMBOLDT	NV	2	NV-HUMBOLDT	#N/A	
HUMPHREYS	MS	17	MS-HUMPHREYS	#N/A	
HUMPHREYS	TN	4	TN-HUMPHREYS	#N/A	
HUNT	TX	4	TX-HUNT	#N/A	
HUNTINGTON	IN	11	IN-HUNTINGTON	#N/A	
HURON	MI	3	MI-HURON	#N/A	
HURON	OH	4	OH-HURON	#N/A	
IBERIA	LA	1	LA-IBERIA	#N/A	
IBERVILLE	LA	2	LA-IBERVILLE	#N/A	
IDA	IA	1	IA-IDA	#N/A	
IDAHO	ID	1	ID-IDAHO	#N/A	
IMPERIAL	CA	2	CA-IMPERIAL	#N/A	
INDEPENDENCE	AR	5	AR-INDEPENDENCE	#N/A	
INDIAN RIVER	FL	2	FL-INDIAN RIVER	#N/A	
INDIANA	PA	2	PA-INDIANA	#N/A	
INGHAM	MI	37	MI-INGHAM	#N/A	
IONIA	MI	7	MI-IONIA	#N/A	
IOSCO	MI	1	MI-IOSCO	#N/A	
IOWA	IA	4	IA-IOWA	#N/A	
IOWA	WI	7	WI-IOWA	#N/A	
IREDELL	NC	4	NC-IREDELL	#N/A	
IRON	MI	3	MI-IRON	#N/A	
IRON	MO	1	MO-IRON	#N/A	
IRON	WI	4	WI-IRON	#N/A	
IROQUOIS	IL	16	IL-IROQUOIS	#N/A	
ISABELA	PR	1	PR-ISABELA	#N/A	
ISABELLA	MI	1	MI-ISABELLA	#N/A	
ISANTI	MN	6	MN-ISANTI	#N/A	
ISLAND	WA	1	WA-ISLAND	#N/A	
ISLE OF WIGHT	VA	5	VA-ISLE OF WIGHT	#N/A	
ITASCA	MN	1	MN-ITASCA	#N/A	
ITAWAMBA	MS	30	MS-ITAWAMBA	#N/A	
JACKSON	AL	11	AL-JACKSON	#N/A	
JACKSON	AR	8	AR-JACKSON	#N/A	
JACKSON	CO	1	CO-JACKSON	#N/A	
JACKSON	FL	3	FL-JACKSON	#N/A	
JACKSON	IA	2	IA-JACKSON	#N/A	
JACKSON	IL	76	IL-JACKSON	#N/A	
JACKSON	IN	11	IN-JACKSON	#N/A	
JACKSON	KY	4	KY-JACKSON	#N/A	
JACKSON	LA	2	LA-JACKSON	#N/A	
JACKSON	MI	6	MI-JACKSON	#N/A	
JACKSON	MO	31	MO-JACKSON	#N/A	
JACKSON	MS	16	MS-JACKSON	#N/A	
JACKSON	OH	8	OH-JACKSON	#N/A	
JACKSON	OK	4	OK-JACKSON	#N/A	
JACKSON	OR	3	OR-JACKSON	#N/A	
JACKSON	WI	5	WI-JACKSON	#N/A	
JACKSON	WV	3	WV-JACKSON	#N/A	
JASPER	IA	2	IA-JASPER	#N/A	
JASPER	IL	1	IL-JASPER	#N/A	
JASPER	IN	68	IN-JASPER	#N/A	
JASPER	MO	1	MO-JASPER	#N/A	
JASPER	MS	14	MS-JASPER	#N/A	
JASPER	SC	1	SC-JASPER	#N/A	
JASPER	TX	1	TX-JASPER	#N/A	
JAY	IN	2	IN-JAY	#N/A	
JEFF DAVIS	GA	1	GA-JEFF DAVIS	#N/A	
JEFFERSON DAVIS	LA	1	LA-JEFFERSON DAVIS	#N/A	
JEFFERSON DAVIS	MS	27	MS-JEFFERSON DAVIS	#N/A	
JEFFERSON	AL	272	AL-JEFFERSON	#N/A	
JEFFERSON	AR	107	AR-JEFFERSON	#N/A	
JEFFERSON	CO	20	CO-JEFFERSON	#N/A	
JEFFERSON	IA	1	IA-JEFFERSON	#N/A	
JEFFERSON	IL	31	IL-JEFFERSON	#N/A	
JEFFERSON	IN	3	IN-JEFFERSON	#N/A	
JEFFERSON	KS	1	KS-JEFFERSON	#N/A	
JEFFERSON	KY	186	KY-JEFFERSON	#N/A	
JEFFERSON	LA	63	LA-JEFFERSON	#N/A	
JEFFERSON	MO	9	MO-JEFFERSON	#N/A	
JEFFERSON	OH	4	OH-JEFFERSON	#N/A	
JEFFERSON	TN	7	TN-JEFFERSON	#N/A	
JEFFERSON	TX	13	TX-JEFFERSON	#N/A	
JEFFERSON	WI	7	WI-JEFFERSON	#N/A	
JENNINGS	IN	15	IN-JENNINGS	#N/A	
JERSEY	IL	4	IL-JERSEY	#N/A	
JESSAMINE	KY	3	KY-JESSAMINE	#N/A	
JIM WELLS	TX	1	TX-JIM WELLS	#N/A	
JO DAVIESS	IL	2	IL-JO DAVIESS	#N/A	
JOHNSON	AR	6	AR-JOHNSON	#N/A	
JOHNSON	IA	31	IA-JOHNSON	#N/A	
JOHNSON	IL	21	IL-JOHNSON	#N/A	
JOHNSON	IN	77	IN-JOHNSON	#N/A	
JOHNSON	KS	29	KS-JOHNSON	#N/A	
JOHNSON	KY	12	KY-JOHNSON	#N/A	
JOHNSON	MO	3	MO-JOHNSON	#N/A	
JOHNSON	TX	10	TX-JOHNSON	#N/A	
JOHNSTON	NC	1	NC-JOHNSTON	#N/A	
JONES	MS	82	MS-JONES	#N/A	
JOSEPHINE	OR	1	OR-JOSEPHINE	#N/A	
JUAB	UT	2	UT-JUAB	#N/A	
JUNEAU	AK	1	AK-JUNEAU	#N/A	
JUNEAU	WI	7	WI-JUNEAU	#N/A	
JUNIATA	PA	1	PA-JUNIATA	#N/A	
KALAMAZOO	MI	63	MI-KALAMAZOO	#N/A	
KANABEC	MN	2	MN-KANABEC	#N/A	
KANAWHA	WV	28	WV-KANAWHA	#N/A	
KANDIYOHI	MN	2	MN-KANDIYOHI	#N/A	
KANE	IL	761	IL-KANE	#N/A	
KANKAKEE	IL	257	IL-KANKAKEE	#N/A	
KAUFMAN	TX	2	TX-KAUFMAN	#N/A	
KAY	OK	1	OK-KAY	#N/A	
KEARNY	KS	1	KS-KEARNY	#N/A	
KEMPER	MS	9	MS-KEMPER	#N/A	
KENAI PENINSULA	AK	1	AK-KENAI PENINSULA	#N/A	
KENDALL	IL	20	IL-KENDALL	#N/A	
KENNEBEC	ME	2	ME-KENNEBEC	#N/A	
KENOSHA	WI	124	WI-KENOSHA	#N/A	
KENT	DE	2	DE-KENT	#N/A	
KENT	MI	44	MI-KENT	#N/A	
KENTON	KY	3	KY-KENTON	#N/A	
KERN	CA	9	CA-KERN	#N/A	
KERSHAW	SC	2	SC-KERSHAW	#N/A	
KETCHIKAN GATEWAY	AK	2	AK-KETCHIKAN GATEWAY	#N/A	
KING	WA	36	WA-KING	#N/A	
KINGS	NY	1	NY-KINGS	#N/A	
KITSAP	WA	16	WA-KITSAP	#N/A	
KLAMATH	OR	1	OR-KLAMATH	#N/A	
KLEBERG	TX	1	TX-KLEBERG	#N/A	
KNOTT	KY	3	KY-KNOTT	#N/A	
KNOX	IL	36	IL-KNOX	#N/A	
KNOX	IN	22	IN-KNOX	#N/A	
KNOX	KY	3	KY-KNOX	#N/A	
KNOX	OH	1	OH-KNOX	#N/A	
KNOX	TN	64	TN-KNOX	#N/A	
KODIAK ISLAND	AK	1	AK-KODIAK ISLAND	#N/A	
KOOCHICHING	MN	1	MN-KOOCHICHING	#N/A	
KOOTENAI	ID	1	ID-KOOTENAI	#N/A	
KOSCIUSKO	IN	48	IN-KOSCIUSKO	#N/A	
LA CROSSE	WI	37	WI-LA CROSSE	#N/A	
LA PLATA	CO	1	CO-LA PLATA	#N/A	
LA PORTE	IN	249	IN-LA PORTE	#N/A	
LA SALLE	IL	55	IL-LA SALLE	#N/A	
LA SALLE	LA	5	LA-LA SALLE	#N/A	
LABETTE	KS	1	KS-LABETTE	#N/A	
LACKAWANNA	PA	1	PA-LACKAWANNA	#N/A	
LACLEDE	MO	1	MO-LACLEDE	#N/A	
LAFAYETTE	AR	3	AR-LAFAYETTE	#N/A	
LAFAYETTE	LA	10	LA-LAFAYETTE	#N/A	
LAFAYETTE	MO	2	MO-LAFAYETTE	#N/A	
LAFAYETTE	MS	19	MS-LAFAYETTE	#N/A	
LAFAYETTE	WI	1	WI-LAFAYETTE	#N/A	
LAFOURCHE	LA	2	LA-LAFOURCHE	#N/A	
LAGRANGE	IN	5	IN-LAGRANGE	#N/A	
LAKE	FL	10	FL-LAKE	#N/A	
LAKE	IL	456	IL-LAKE	#N/A	
LAKE	IN	"2,715"	IN-LAKE	#N/A	
LAKE	MI	2	MI-LAKE	#N/A	
LAKE	OH	23	OH-LAKE	#N/A	
LAKE	TN	1	TN-LAKE	#N/A	
LAMAR	AL	4	AL-LAMAR	#N/A	
LAMAR	GA	2	GA-LAMAR	#N/A	
LAMAR	MS	3	MS-LAMAR	#N/A	
LAMAR	TX	1	TX-LAMAR	#N/A	
LAMPASAS	TX	3	TX-LAMPASAS	#N/A	
LANCASTER	NE	14	NE-LANCASTER	#N/A	
LANCASTER	PA	9	PA-LANCASTER	#N/A	
LANCASTER	SC	4	SC-LANCASTER	#N/A	
LANE	OR	2	OR-LANE	#N/A	
LANGLADE	WI	5	WI-LANGLADE	#N/A	
LAPEER	MI	1	MI-LAPEER	#N/A	
LARAMIE	WY	9	WY-LARAMIE	#N/A	
LARIMER	CO	10	CO-LARIMER	#N/A	
LARUE	KY	5	KY-LARUE	#N/A	
LASSEN	CA	2	CA-LASSEN	#N/A	
LAUDERDALE	AL	17	AL-LAUDERDALE	#N/A	
LAUDERDALE	MS	80	MS-LAUDERDALE	#N/A	
LAUDERDALE	TN	4	TN-LAUDERDALE	#N/A	
LAUREL	KY	11	KY-LAUREL	#N/A	
LAURENS	GA	1	GA-LAURENS	#N/A	
LAURENS	SC	1	SC-LAURENS	#N/A	
LAWRENCE	AL	2	AL-LAWRENCE	#N/A	
LAWRENCE	AR	6	AR-LAWRENCE	#N/A	
LAWRENCE	IL	2	IL-LAWRENCE	#N/A	
LAWRENCE	IN	17	IN-LAWRENCE	#N/A	
LAWRENCE	MO	1	MO-LAWRENCE	#N/A	
LAWRENCE	MS	4	MS-LAWRENCE	#N/A	
LAWRENCE	OH	12	OH-LAWRENCE	#N/A	
LAWRENCE	PA	3	PA-LAWRENCE	#N/A	
LAWRENCE	SD	1	SD-LAWRENCE	#N/A	
LAWRENCE	TN	2	TN-LAWRENCE	#N/A	
LE FLORE	OK	1	OK-LE FLORE	#N/A	
LE SUEUR	MN	1	MN-LE SUEUR	#N/A	
LEA	NM	3	NM-LEA	#N/A	
LEAKE	MS	13	MS-LEAKE	#N/A	
LEAVENWORTH	KS	4	KS-LEAVENWORTH	#N/A	
LEBANON	PA	3	PA-LEBANON	#N/A	
LEE	AL	17	AL-LEE	#N/A	
LEE	AR	10	AR-LEE	#N/A	
LEE	FL	21	FL-LEE	#N/A	
LEE	GA	2	GA-LEE	#N/A	
LEE	IA	7	IA-LEE	#N/A	
LEE	IL	9	IL-LEE	#N/A	
LEE	KY	2	KY-LEE	#N/A	
LEE	MS	83	MS-LEE	#N/A	
LEE	NC	1	NC-LEE	#N/A	
LEE	SC	4	SC-LEE	#N/A	
LEE	TX	3	TX-LEE	#N/A	
LEE	VA	2	VA-LEE	#N/A	
LEFLORE	MS	291	MS-LEFLORE	#N/A	
LEHIGH	PA	2	PA-LEHIGH	#N/A	
LENAWEE	MI	1	MI-LENAWEE	#N/A	
LEON	FL	14	FL-LEON	#N/A	
LEON	TX	3	TX-LEON	#N/A	
LESLIE	KY	5	KY-LESLIE	#N/A	
LETCHER	KY	8	KY-LETCHER	#N/A	
LEVY	FL	1	FL-LEVY	#N/A	
LEWIS AND CLARK	MT	1	MT-LEWIS AND CLARK	#N/A	
LEWIS	KY	2	KY-LEWIS	#N/A	
LEWIS	MO	1	MO-LEWIS	#N/A	
LEWIS	TN	1	TN-LEWIS	#N/A	
LEWIS	WA	6	WA-LEWIS	#N/A	
LEWIS	WV	3	WV-LEWIS	#N/A	
LEXINGTON	SC	6	SC-LEXINGTON	#N/A	
LIBERTY	GA	36	GA-LIBERTY	#N/A	
LIBERTY	TX	3	TX-LIBERTY	#N/A	
LICKING	OH	16	OH-LICKING	#N/A	
LIMESTONE	AL	16	AL-LIMESTONE	#N/A	
LINCOLN	AR	1	AR-LINCOLN	#N/A	
LINCOLN	GA	2	GA-LINCOLN	#N/A	
LINCOLN	KY	2	KY-LINCOLN	#N/A	
LINCOLN	LA	16	LA-LINCOLN	#N/A	
LINCOLN	MS	68	MS-LINCOLN	#N/A	
LINCOLN	NC	4	NC-LINCOLN	#N/A	
